0.0001,2.00315062676033e-05,8.00047670187185e-06,7.94979114052483e-06,1.22979511818313e-05,1.21586689557489e-05,2.53004851270653e-05,2.54597924000841e-05,3.46742462763271e-05,3.48313870601513e-05,3.46814417495629e-05,3.48635380577425e-05,2.51211613406775e-05,2.51909467209987e-05,1.21085969723215e-05,1.21068955747204e-05,7.93209155882451e-06,7.82662946319983e-06
0.0002,1.97983066693802e-05,7.86248219265722e-06,7.81966213815368e-06,1.20998937367371e-05,1.19809118910982e-05,2.49853778043126e-05,2.5171105309778e-05,3.43368369322429e-05,3.45058293567125e-05,3.43547848792924e-05,3.45587326914041e-05,2.48410034698276e-05,2.49296398880597e-05,1.19162517181791e-05,1.19223501563999e-05,7.7953210545239e-06,7.69272349070373e-06
0.0003,1.94917927027034e-05,7.64022445595528e-06,7.60118381663148e-06,1.18273491166961e-05,1.17191842387254e-05,2.46221831720663e-05,2.48207036448361e-05,3.39399391796234e-05,3.41162008444813e-05,3.39642803302076e-05,3.41791228375346e-05,2.44942195003761e-05,2.45914812547842e-05,1.16463345817958e-05,1.16581396826063e-05,7.57418755298518e-06,7.47394903394967e-06
0.0004,1.94116965537325e-05,7.57921014323658e-06,7.5407779813058e-06,1.17552235847349e-05,1.16489194165417e-05,2.45307166232108e-05,2.47312196999191e-05,3.3839358624839e-05,3.40170509742399e-05,3.38649041847381e-05,3.408151929969e-05,2.44051699976476e-05,2.45037349617631e-05,1.1574592734689e-05,1.15876462204279e-05,7.51341192340569e-06,7.41368848933045e-06
0.0005,1.93675210873244e-05,7.54377674065535e-06,7.50544999389916e-06,1.17148940947788e-05,1.16090297459935e-05,2.44823591296664e-05,2.46831297702391e-05,3.37857881336141e-05,3.39639848936753e-05,3.38117149121802e-05,3.4028655435875e-05,2.43570094941087e-05,2.44557160288731e-05,1.15342909559039e-05,1.15478855307484e-05,7.47807671310711e-06,7.37857582387237e-06
0.0006,1.93233456209163e-05,7.50834333807413e-06,7.47012200649253e-06,1.16745646048227e-05,1.15691400754454e-05,2.4434001636122e-05,2.46350398405592e-05,3.37322176423892e-05,3.39109188131106e-05,3.37585256396223e-05,3.397579157206e-05,2.43088489905697e-05,2.44076970959831e-05,1.14939891771188e-05,1.1508124841069e-05,7.44274150280853e-06,7.34346315841429e-06
0.0007,1.93173161164532e-05,7.50263572069233e-06,7.46431528605602e-06,1.16687877771241e-05,1.156313806277e-05,2.44284174448854e-05,2.46290917843789e-05,3.37258406999028e-05,3.39044714054423e-05,3.37520624395791e-05,3.3969055644112e-05,2.43027413794269e-05,2.44013274155937e-05,1.14881262853819e-05,1.15022630368982e-05,7.43703114727976e-06,7.33775233372719e-06
0.0008,1.93256724345279e-05,7.50813846081306e-06,7.46964179404199e-06,1.16760416463095e-05,1.15699159567354e-05,2.44389641651526e-05,2.46390365116722e-05,3.37372616574424e-05,3.39156050973465e-05,3.37632208422645e-05,3.39797157461917e-05,2.43124929946968e-05,2.44106647386397e-05,1.14952511829738e-05,1.15091853735985e-05,7.44249308579478e-06,7.34312969877383e-06
0.0009,1.93340287526027e-05,7.51364120093379e-06,7.47496830202796e-06,1.16832955154949e-05,1.15766938507009e-05,2.44495108854197e-05,2.46489812389656e-05,3.37486826149819e-05,3.39267387892507e-05,3.37743792449499e-05,3.39903758482713e-05,2.43222446099668e-05,2.44200020616856e-05,1.15023760805656e-05,1.15161077102988e-05,7.44795502430979e-06,7.34850706382046e-06
0.001,1.93423850706775e-05,7.51914394105453e-06,7.48029481001393e-06,1.16905493846803e-05,1.15834717446664e-05,2.44600576056869e-05,2.4658925966259e-05,3.37601035725215e-05,3.39378724811549e-05,3.37855376476353e-05,3.40010359503509e-05,2.43319962252367e-05,2.44293393847316e-05,1.15095009781574e-05,1.15230300469991e-05,7.4534169628248e-06,7.3538844288671e-06
